PM2.5 AQI Value,AQI Category,T,TM,Tm,SLP,H,PP,VV,V,VM,VG,RA,SN,TS,FG
32,Good,25.7,32.2,20.6,1019.6,76,0,15.9,11.3,25.9,-,,,,
33,Good,28.4,33.3,20,1014.6,71,0,16.1,18.9,25.9,35.2,,,,
41,Good,27.8,33.3,23.3,1010.8,77,0,15,20,57.6,77.8,o,,o,
36,Good,,,,,,,,,,,o,,,
46,Good,,,,,,,,,,,,,,
40,Good,,,,,,,,,,,,,,
27,Good,23.6,27.2,16.7,1021.2,73,0,15.8,14.8,22.2,-,o,,,
27,Good,24.3,28.9,20,1018.2,78,0.51,16.1,12,18.3,-,,,,
20,Good,23.7,28.9,20,1020.9,85,0,16.1,9.8,13,-,o,,,
18,Good,,,,,,,,,,,,,,
23,Good,,,,,,,,,,,,,,
42,Good,,,,,,,,,,,o,,o,o
26,Good,24.1,27.8,20.6,1015.9,68,31.24,14,13.5,25.9,-,o,,o,
31,Good,24.1,30,17.8,1016.2,68,1.52,16.1,9.4,27.8,-,o,,o,
44,Good,25.4,30,17.8,1011.7,84,14.22,14.8,12.8,27.8,35.2,o,,o,
41,Good,,,,,,,,,,,,,,
32,Good,,,,,,,,,,,,,,
44,Good,,,,,,,,,,,,,,
56,Moderate,22.9,28.3,16.7,1019.8,70,0,16.1,7.8,16.5,-,,,,
48,Good,23.4,28.3,17.2,1021,77,0,15.3,10.6,24.1,37,o,,,
25,Good,22.8,25.6,20,1018.7,91,18.03,13,11.5,22.2,35.2,o,,o,
18,Good,24.4,28.3,21.7,1018.4,84,14.48,15.6,7.8,14.8,-,o,,,
23,Good,,,,,,,,,,,,,,o
38,Good,,,,,,,,,,,o,,,
58,Moderate,,,,,,,,,,,,,,
59,Moderate,24.4,27.8,20.6,1014.1,75,11.68,14.3,7.6,14.8,-,,,,
52,Moderate,23.1,28.3,17.8,1018.3,74,0,15.3,4.8,16.5,-,,,,
60,Moderate,22.9,28.3,17.8,1019.6,69,0,16.1,5.7,11.1,-,,,,
39,Good,,,,,,,,,,,,,,o
22,Good,,,,,,,,,,,,,,
20,Good,,,,,,,,,,,o,,,
30,Good,26.3,30,22.8,1009.1,69,1.27,15.9,17.8,27.8,35.2,o,,,
34,Good,24.1,30,20.6,1013.7,52,0.25,16.1,13.3,20.6,-,,,,
40,Good,23,27.8,18.3,1015.2,58,0,16.1,10.7,16.5,-,,,,
52,Moderate,,,,,,,,,,,o,,o,o
51,Moderate,,,,,,,,,,,,,,o
53,Moderate,,,,,,,,,,,o,,o,
23,Good,24.3,30,21.1,1009.3,89,58.17,13.7,8.7,22.2,-,o,,,
19,Good,25.2,27.8,22.8,1013.7,78,0.51,16.1,13.1,18.3,-,o,,,
43,Good,26.1,32.2,22.2,1016.2,77,0,15.8,8,14.8,-,o,,,
47,Good,,,,,,,,,,,,,,
20,Good,,,,,,,,,,,o,,,
15,Good,,,,,,,,,,,,,,
18,Good,22.9,26.1,20.6,1018.8,68,0,16.1,22.8,29.4,42.4,,,,
22,Good,23.4,26.1,20.6,1019.5,71,0,16.1,18,27.8,31.7,,,,
15,Good,23.9,27.8,21.7,1016.6,79,0,16.1,13.9,24.1,-,,,,
51,Moderate,,,,,,,,,,,,,,
30,Good,,,,,,,,,,,,,,
33,Good,,,,,,,,,,,,,,
28,Good,27.1,32.8,22.8,1020.6,75,0,16.1,12.4,24.1,31.7,,,,
29,Good,28.4,33.9,23.3,1017.4,72,0,16.1,17.2,24.1,33.5,,,,
